[2024-05-16 16:49:08,454 : INFO : main : Welcome to custom logging]
[2024-06-06 16:40:02,434 : INFO : main : Welcome to custom logging]
[2024-06-06 17:03:46,014 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-06 17:04:10,728 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-06 17:08:06,933 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-06 17:10:43,827 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-06 17:11:22,849 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-06 17:11:22,875 : INFO : common : yaml file : C:\DS\DS_Proj\Project\config\config.yaml loaded successfully]
[2024-06-06 17:11:22,879 : INFO : common : yaml file : C:\DS\DS_Proj\Project\params.yaml loaded successfully]
[2024-06-06 17:11:22,906 : INFO : common : yaml file : C:\DS\DS_Proj\Project\schema.yaml loaded successfully]
[2024-06-06 17:11:22,911 : INFO : common : Created a directory: artifacts]
[2024-06-06 17:11:22,915 : INFO : common : Created a directory: artifacts/data_ingestion]
[2024-06-06 17:11:22,920 : INFO : data_ingestion : File already exists of size: ~ 23 KB]
[2024-06-06 17:11:22,951 : INFO : main : >>>>> stage Data Ingestion Stage completed <<<<<]
[2024-06-06 17:11:52,573 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-06 17:11:52,586 : INFO : common : yaml file : C:\DS\DS_Proj\Project\config\config.yaml loaded successfully]
[2024-06-06 17:11:52,586 : INFO : common : yaml file : C:\DS\DS_Proj\Project\params.yaml loaded successfully]
[2024-06-06 17:11:52,586 : INFO : common : yaml file : C:\DS\DS_Proj\Project\schema.yaml loaded successfully]
[2024-06-06 17:11:52,602 : INFO : common : Created a directory: artifacts]
[2024-06-06 17:11:52,602 : INFO : common : Created a directory: artifacts/data_ingestion]
[2024-06-06 17:11:52,618 : INFO : data_ingestion : File already exists of size: ~ 23 KB]
[2024-06-06 17:11:52,641 : INFO : main : >>>>> stage Data Ingestion Stage completed <<<<<]
[2024-06-07 15:56:38,291 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-07 15:58:39,838 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-07 16:07:53,269 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-07 16:07:53,285 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\config\config.yaml loaded successfully]
[2024-06-07 16:07:53,298 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\params.yaml loaded successfully]
[2024-06-07 16:07:53,315 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\schema.yaml loaded successfully]
[2024-06-07 16:07:53,318 : INFO : common : Created a directory: artifacts]
[2024-06-07 16:07:53,318 : INFO : common : Created a directory: artifacts/data_ingestion]
[2024-06-07 16:52:09,960 : INFO : main : >>>>> stage Data Ingestion Stage started <<<<<]
[2024-06-07 16:52:09,975 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\config\config.yaml loaded successfully]
[2024-06-07 16:52:09,975 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\params.yaml loaded successfully]
[2024-06-07 16:52:09,975 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\schema.yaml loaded successfully]
[2024-06-07 16:52:09,991 : INFO : common : Created a directory: artifacts]
[2024-06-07 16:52:09,991 : INFO : common : Created a directory: artifacts/data_ingestion]
[2024-06-07 16:52:09,991 : INFO : data_ingestion : File already exists of size: ~ 23 KB]
[2024-06-07 16:52:10,022 : INFO : main : >>>>> stage Data Ingestion Stage completed <<<<<]
[2024-06-07 18:33:20,814 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\config\config.yaml loaded successfully]
[2024-06-07 18:33:20,829 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\params.yaml loaded successfully]
[2024-06-07 18:33:20,867 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\schema.yaml loaded successfully]
[2024-06-07 18:33:20,872 : INFO : common : Created a directory: artifacts]
[2024-06-07 18:33:20,885 : INFO : common : Created a directory: artifacts/data_validation]
[2024-06-10 15:43:37,343 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\config\config.yaml loaded successfully]
[2024-06-10 15:43:37,369 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\params.yaml loaded successfully]
[2024-06-10 15:43:37,389 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\schema.yaml loaded successfully]
[2024-06-10 15:43:37,399 : INFO : common : Created a directory: artifacts]
[2024-06-10 15:43:37,405 : INFO : common : Created a directory: artifacts/data_validation]
[2024-06-10 15:44:13,108 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\config\config.yaml loaded successfully]
[2024-06-10 15:44:13,115 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\params.yaml loaded successfully]
[2024-06-10 15:44:13,123 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\schema.yaml loaded successfully]
[2024-06-10 15:44:13,132 : INFO : common : Created a directory: artifacts]
[2024-06-10 15:44:13,142 : INFO : common : Created a directory: artifacts/data_validation]
[2024-06-10 15:46:25,761 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\config\config.yaml loaded successfully]
[2024-06-10 15:46:25,769 : INFO : common : yaml file : C:\DS\DS_Proj\Wine_Quality\params.yaml loaded successfully]
